data,ticker,empresa,categoria,assunto,protocolo,link
2026-07-29T17:45:32.000Z,AFYA,Afya,SEC 6-K,6-K,0001292814-26-003962,https://www.sec.gov/Archives/edgar/data/1771007/000129281426003962/afya20260729_6k.htm
30/07/2026 09:02,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Aviso aos Acionistas,Alteração no exercício do bônus de subscrição.,1549576,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1074282&numVersao=1&numProtocolo=1549576&descTipo=IPE&CodigoInstituicao=1
31/07/2026 19:45,VIVT3,TELEFÔNICA BRASIL S.A,Fato Relevante,Incorporação Fibrasil,1550766,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1075472&numVersao=1&numProtocolo=1550766&descTipo=IPE&CodigoInstituicao=1
03/08/2026 09:50,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Fato Relevante,Formalização Venda de Participação (Arábia Saudita),1550853,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1075559&numVersao=1&numProtocolo=1550853&descTipo=IPE&CodigoInstituicao=1
03/08/2026 09:59,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Fato Relevante,Acordo Unimed,1550854,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1075560&numVersao=1&numProtocolo=1550854&descTipo=IPE&CodigoInstituicao=1
03/08/2026 17:24,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Fato Relevante,Acordo Unimed,1551077,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1075783&numVersao=2&numProtocolo=1551077&descTipo=IPE&CodigoInstituicao=1
03/08/2026 17:23,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Fato Relevante,Formalização Venda de Participação (Arábia Saudita),1551076,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1075782&numVersao=2&numProtocolo=1551076&descTipo=IPE&CodigoInstituicao=1
05/08/2026 09:17,ONCO3,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,Fato Relevante,Deferimento do Pedido de Recuperação Extrajudicial,1552285,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1076991&numVersao=1&numProtocolo=1552285&descTipo=IPE&CodigoInstituicao=1
06/08/2026 18:08,FLRY3,FLEURY S.A.,Dados Econômico-Financeiros,DF versão inglês,1553645,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1078351&numVersao=1&numProtocolo=1553645&descTipo=IPE&CodigoInstituicao=1
06/08/2026 18:11,FLRY3,FLEURY S.A.,Dados Econômico-Financeiros,Press-release 2T26,1553658,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numSequencia=1078364&numVersao=1&numProtocolo=1553658&descTipo=IPE&CodigoInstituicao=1
